Region,State,Capacity,Number of Active Pet Sitters,Number of Active Pet Owners,Capacity Ratio,Ads Needed?,Target?,Post Codes,Geolocation
West Melbourne,Victoria,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",3,3,1:1,Yes,More Pet Owners,,
East Melbourne,Victoria,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",7,67,7:67,Yes,More Pet Sitters and Walkers,,
North Melbourne,Victoria,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",9,7,9:7,Yes,More Pet Owners,,
South Melbourne,Victoria,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",8,2,8:2,Yes,More Pet Owners,,
West Sydney,New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",9,8,9:8,Yes,More Pet Owners,,
East Sydney,New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",4,70,4:70,Yes,More Pet Sitters and Walkers,,
North Sydney,New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",6,5,6:5,Yes,More Pet Owners,,
South Sydney,New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",4,1,4:1,Yes,More Pet Owners,,
West Brisbane,Queensland,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",1,5,1:5,No,,,
East Brisbane,Queensland,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",3,3,1:1,Yes,More Pet Owners,,
North Brisbane,Queensland,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",7,67,7:67,Yes,More Pet Sitters and Walkers,,
South Brisbane,Queensland,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",9,7,9:7,Yes,More Pet Owners,,
West Perth,Western Australia,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",8,2,8:2,Yes,More Pet Owners,,
East Perth,Western Australia,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",9,8,9:8,Yes,More Pet Owners,,
North Perth,Western Australia,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",4,70,4:70,Yes,More Pet Sitters and Walkers,,
South Perth,Western Australia,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",6,5,6:5,Yes,More Pet Owners,,
West Adelaide,South Australia,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",4,1,4:1,Yes,More Pet Owners,,
East Adelaide,South Australia,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",1,5,1:5,No,,,
North Adelaide,South Australia,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",3,3,1:1,Yes,More Pet Owners,,
South Adelaide,South Australia,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",7,67,7:67,Yes,More Pet Sitters and Walkers,,
Gold Coast–Tweed Heads,Queensland/New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",9,7,9:7,Yes,More Pet Owners,see relevant tab,
Canberra–Queanbeyan,Australian Capital Territory/New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",8,2,8:2,Yes,More Pet Owners,see relevant tab,
Hobart,Tasmania,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",9,8,9:8,Yes,More Pet Owners,see relevant tab,
Newcastle–Maitland,New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",4,70,4:70,Yes,More Pet Sitters and Walkers,2300,
Sunshine Coast,Queensland,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",80,30,80:30,Yes,More Pet Owners,"4517, 4518, 4519, 4550, 4551, 4552, 4553, 4554, 4555,  4556, 4557, 4558, 4559, 4560, 4561,  4562,  4564,   4572,   4573,   4574, 4575     ",
Central Coast,New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",4,1,4:1,Yes,More Pet Owners,"2250, 2251, 2256, 2257, 2258, 2259, 2260, 2261, 2262, 2263, 7315",
Wollongong,New South Wales,"Allocated:     48,8611 hours
Capacity:     100,6369 hours     ",1,5,1:5,No,,"2500, 2520",
